analysis_date,batch_id,sample_id,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD
4/1/21 13:05,SSB,blank,478.85205,616.91225,0.54858,0,-0.66338
4/1/21 13:20,SSB,blank,427.76885,571.78814,1.81875,0,-0.27867
4/1/21 13:35,SSB,blank,357.91225,506.33158,1.82747,0,-0.14177
4/1/21 13:50,SSB,blank,358.34273,501.00285,1.86706,0,-0.13312
4/1/21 14:05,SSB,SSB_2021-02-02_Air_1,371.20908,515.68744,1.77657,0,0.04919
4/1/21 14:20,SSB,SSB_2021-02-02_Air_2,375.021,522.5073,1.62733,0,-0.25089
4/1/21 14:35,SSB,SSB_2021-02-02_Air_3,358.52445,511.65545,1.79908,0,-0.07044
4/1/21 14:50,SSB,TB_2021-02-03_Air_1,355.64851,504.78537,1.941,0,-0.25334
4/1/21 15:05,SSB,TB_2021-02-03_Air_2,350.05177,504.81858,1.73972,0,-0.13846
4/1/21 15:20,SSB,TB_2021-02-03_Air_3,350.17148,505.07209,1.73498,0,-0.34808
4/1/21 15:35,SSB,TB_2021-02-16_Air_1,364.26019,513.13849,2.00419,0,-0.41537
4/1/21 15:50,SSB,TB_2021-02-16_Air_2,349.34866,504.9587,1.60286,0,-0.57677
4/1/21 16:06,SSB,TB_2021-02-16_Air_3,418.66092,566.00138,1.64318,0,-0.77454
4/1/21 16:21,SSB,SSB_2021-02-17_Air_1,356.35711,506.99211,1.78552,0,-0.57198
4/1/21 16:35,SSB,SSB_2021-02-17_Air_2,354.78386,502.45187,1.70976,0,-0.60088
4/1/21 16:51,SSB,SSB_2021-02-17_Air_3,353.95778,505.34262,1.76341,0,-0.76507
4/1/21 17:06,SSB,SSB_2021-03-02_Air_1,434.06132,583.00974,1.92039,0,-0.72791
4/1/21 17:20,SSB,SSB_2021-03-02_Air_2,352.69767,504.68655,2.0789,0,-0.67704
4/1/21 17:35,SSB,SSB_2021-03-02_Air_3,363.68938,512.70557,1.84538,0,-0.72293
4/1/21 17:50,SSB,TB_2021-03-02_Air_1,359.69014,503.81463,1.65998,0,-0.66151
4/1/21 18:06,SSB,TB_2021-03-02_Air_2,361.11627,507.90453,1.84458,0,-0.87964
4/1/21 18:21,SSB,TB_2021-03-02_Air_3,357.2962,505.00649,1.81365,0,-0.71921
4/1/21 18:36,SSB,CB_2021-03-03_Air_1,354.19506,505.2758,1.72632,0,-0.66713
4/1/21 18:51,SSB,CB_2021-03-03_Air_2,352.81257,503.34526,1.77421,0,-0.92883
4/1/21 19:06,SSB,CB_2021-03-03_Air_3,368.82947,523.55134,1.77967,0,-0.72036
4/1/21 19:21,SSB,TB_2021-03-15_Air_1,353.50843,502.5438,2.03648,0,-0.71185
4/1/21 19:36,SSB,TB_2021-03-15_Air_2,352.50848,501.25718,1.7017,0,-0.54225
4/1/21 19:51,SSB,TB_2021-03-15_Air_3,349.99835,510.57659,1.60521,0,-0.68093
4/1/21 20:06,SSB,SSB_2021-03-15_Air_1,352.14655,499.25334,1.85819,0,-0.72884
4/1/21 20:21,SSB,SSB_2021-03-15_Air_2,355.39819,504.05316,1.87418,0,-0.70327
4/1/21 20:36,SSB,SSB_2021-03-15_Air_3,354.95691,502.83336,2.06416,0,-0.81065
4/1/21 20:51,SSB,CB_2021-03-03_0_1,6257.78165,5885.31387,1681.6673,1688.21335,-1.21681
4/1/21 21:06,SSB,CB_2021-03-03_0_2,6151.94032,5802.72098,1628.21253,1634.1896,-1.11102
4/1/21 21:21,SSB,CB_2021-03-03_0_3,6094.79064,5726.26597,1572.36933,1582.87245,-1.17941
4/1/21 21:36,SSB,SSB_2021-02-02_0_1,6410.52701,6032.5659,40.28671,11.2485,-1.24187
4/1/21 21:51,SSB,SSB_2021-02-02_0_2,6723.0872,6308.22139,35.71772,9.09789,-1.08377
4/1/21 22:06,SSB,SSB_2021-02-02_0_3,6583.97071,6172.79761,32.12028,3.92198,-0.97467
4/1/21 22:21,SSB,SSB_2021-02-02_3_1,7757.24722,7234.90857,2248.16945,2251.56533,-1.21826
4/1/21 22:36,SSB,SSB_2021-02-02_3_2,7591.34892,7094.79633,2183.36008,2188.84743,-1.25514
4/1/21 22:51,SSB,SSB_2021-02-02_3_3,7578.38034,7092.52723,2148.2835,2157.66932,-1.22077
4/1/21 23:06,SSB,SSB_2021-02-02_5_1,8014.9114,7477.96719,4106.67416,4152.66016,-1.05629
4/1/21 23:21,SSB,SSB_2021-02-02_5_2,7770.61274,7256.64548,3377.77097,3403.2472,-1.15428
4/1/21 23:36,SSB,SSB_2021-02-02_5_3,7950.302,7417.19667,3635.60877,3677.06819,-1.20886
4/1/21 23:51,SSB,SSB_2021-02-02_7_1,9744.63551,9050.75502,11567.56037,11839.72907,-1.32862
4/2/21 0:06,SSB,SSB_2021-02-02_7_2,9645.55334,8958.98204,10882.36651,11123.55426,-1.35553
4/2/21 0:21,SSB,SSB_2021-02-02_7_3,9063.53195,8438.00531,9021.41072,9192.98999,-1.24193
4/2/21 0:36,SSB,TB_2021-02-03_0_1,5811.71732,5476.54177,129.48012,110.99735,-1.06442
4/2/21 0:51,SSB,TB_2021-02-03_0_2,6010.0301,5657.43957,128.85068,112.75934,-0.80512
4/2/21 1:06,SSB,TB_2021-02-03_0_3,5987.66127,5643.94036,129.1654,111.878345,-1.20183
4/2/21 1:21,SSB,TB_2021-02-03_3_1,6800.42814,6385.68926,574.44618,566.64918,-0.75738
4/2/21 1:36,SSB,TB_2021-02-03_3_2,5588.96043,5294.21399,368.97451,352.82401,-1.13236
4/2/21 1:51,SSB,TB_2021-02-03_3_3,6886.92496,6453.91547,471.710345,459.736595,-0.90489
4/2/21 2:06,SSB,TB_2021-02-03_5_1,7844.55067,7312.2598,3384.69168,3416.85129,-1.08641
4/2/21 2:21,SSB,TB_2021-02-03_5_2,7853.93199,7326.28913,3356.21241,3386.03086,-1.0788
4/2/21 2:36,SSB,TB_2021-02-03_5_3,7849.24133,7319.274465,3370.452045,3401.441075,-0.52408
4/2/21 2:51,SSB,TB_2021-02-03_7_1,10013.2374,9287.73247,9351.80996,9537.14601,-0.91205
4/2/21 3:06,SSB,TB_2021-02-03_7_2,9862.7832,9147.83203,9600.75393,9786.65113,-0.73821
4/2/21 3:21,SSB,TB_2021-02-03_7_3,9535.70509,8874.31241,8350.26032,8494.68439,-1.11517
4/2/21 3:36,SSB,TB_2021-02-16_0_1,6509.20977,6113.45666,188.81163,169.97003,-0.47644
4/2/21 3:51,SSB,TB_2021-02-16_0_2,6593.91429,6195.222175,107.31525,82.61469,-0.68268
4/2/21 4:06,SSB,TB_2021-02-16_0_3,6678.61881,6276.98769,177.99363,152.67401,-0.85873
4/2/21 4:21,SSB,TB_2021-02-16_3_1,7243.33129,6784.35021,450.25221,441.46444,-0.71573
4/2/21 4:36,SSB,TB_2021-02-16_3_2,7156.75679,6693.83388,405.69534,396.33947,-0.72999
4/2/21 4:51,SSB,TB_2021-02-16_3_3,7224.21427,6781.95799,494.80908,486.58941,-0.61324
4/2/21 5:06,SSB,TB_2021-02-16_5_1,8633.11979,8040.90515,4982.96116,5049.57904,-0.85036
4/2/21 5:21,SSB,TB_2021-02-16_5_2,9066.44151,8435.39642,6729.29657,6834.11507,-1.08601
4/2/21 5:36,SSB,TB_2021-02-16_5_3,8196.14322,7634.83306,3273.81563,5941.847055,-0.6791
4/2/21 5:51,SSB,TB_2021-02-16_7_1,14509.21931,13393.87515,23102.94394,23895.68992,-0.60664
4/2/21 6:06,SSB,TB_2021-02-16_7_2,14489.57012,13367.17804,23838.57956,24670.00341,-0.78933
4/2/21 6:21,SSB,TB_2021-02-16_7_3,12409.70214,11469.71348,22447.168,23205.23129,-0.82374
4/2/21 6:36,SSB,SSB_2021-02-17_0_1,6305.63633,5936.10771,289.63748,273.07606,-0.76486
4/2/21 6:51,SSB,SSB_2021-02-17_0_2,6515.64728,6120.17043,193.49921,175.24223,-0.49736
4/2/21 7:06,SSB,SSB_2021-02-17_0_3,6445.40921,6048.94007,184.00995,164.72591,-0.59114
4/2/21 7:21,SSB,SSB_2021-02-17_3_1,8230.98823,7673.50543,3304.40801,3335.22213,-0.9498
4/2/21 7:36,SSB,SSB_2021-02-17_3_2,8343.23855,7777.97171,3360.14361,3391.8304,-0.57279
4/2/21 7:51,SSB,SSB_2021-02-17_3_3,7855.3223,7343.68829,3307.51634,3334.22936,-0.66743
4/2/21 8:07,SSB,SSB_2021-02-17_5_1,8507.10954,7929.28732,4689.58262,4749.12076,-0.5539
4/2/21 8:22,SSB,SSB_2021-02-17_5_2,8696.14721,8101.29783,5554.1141,5624.89236,-0.51811
4/2/21 8:37,SSB,SSB_2021-02-17_5_3,7359.17355,6876.66586,3414.87349,3448.34236,-0.48203
4/2/21 8:52,SSB,SSB_2021-02-17_7_1,8769.64723,8159.96044,6688.89241,6785.90691,-0.57959
4/2/21 9:07,SSB,SSB_2021-02-17_7_2,8498.39499,7924.16716,6542.38885,6637.61515,-0.49127
4/2/21 9:22,SSB,SSB_2021-02-17_7_3,8487.20294,7903.17906,5614.35664,5690.15694,-0.50249
4/2/21 9:37,SSB,SSB_2021-03-02_0_1,8558.24059,7952.53319,2162.65573,2167.62105,-0.79153
4/2/21 9:52,SSB,SSB_2021-03-02_0_2,8650.54172,8036.78205,2210.67853,2220.44052,-0.38837
4/2/21 10:07,SSB,SSB_2021-03-02_0_3,8777.61926,8161.19927,2250.01601,2261.01895,-0.40609
4/2/21 10:22,SSB,SSB_2021-03-02_3_1,9045.86917,8399.89464,4182.43289,4216.62934,-0.84402
4/2/21 10:37,SSB,SSB_2021-03-02_3_2,9233.98606,8568.88845,4273.46314,4314.9028,-0.82478
4/2/21 10:52,SSB,SSB_2021-03-02_3_3,8983.45451,8340.12401,4023.37928,4308.58624,-0.34972
4/2/21 11:07,SSB,SSB_2021-03-02_5_1,9275.24975,8615.66205,5446.1827,5521.52266,-0.49058
4/2/21 11:22,SSB,SSB_2021-03-02_5_2,9379.8634,8698.54531,5490.98667,5554.38423,-0.51156
4/2/21 11:37,SSB,SSB_2021-03-02_5_3,9312.29895,8650.32917,5471.53906,5531.80397,-0.43974
4/2/21 11:52,SSB,SSB_2021-03-02_7_1,12525.09473,11563.51744,19247.15099,19818.88195,-0.69157
4/2/21 12:07,SSB,SSB_2021-03-02_7_2,12752.96489,11762.63894,19469.84653,20057.17375,-0.43
4/2/21 12:22,SSB,SSB_2021-03-02_7_3,12754.45646,11755.64574,18470.85557,19016.9298,0.01332
4/2/21 12:37,SSB,TB_2021-03-02_0_1,7031.37607,6561.81558,343.90382,327.18063,0.21206
4/2/21 12:52,SSB,TB_2021-03-02_0_2,6870.81205,6435.47834,224.84338,203.80831,0.61729
4/2/21 13:07,SSB,TB_2021-03-02_0_3,6756.18868,6342.22029,239.71436,222.36248,0.48825
